Symbol,Company Name,Market Cap,Stock Price,Industry,Volume,Revenue,Employees,Founded
EA,Electronic Arts Inc.,34905216000,130.56,Electronic Gaming & Multimedia,1662601,7657000000,13400,1982
TCOM,Trip.com Group Limited,34697091237,53.87,Travel Services,3326008,6277856135,36249,1999
VRSK,"Verisk Analytics, Inc.",34680305400,241.86,Consulting Services,860478,2733800000,7500,1971
CTSH,Cognizant Technology Solutions Corporation,33023957580,66.42,Information Technology Services,2250257,19301000000,347700,1994
CCEP,Coca-Cola Europacific Partners PLC,32743250560,71.36,Beverages - Non-Alcoholic,905661,20335555556,32315,1986
BIIB,Biogen Inc.,32238087740,221.42,Drug Manufacturers - General,1178105,9663100000,7570,1978
BKR,Baker Hughes Company,31935936000,32.00,Oil & Gas Equipment & Services,3033468,26209000000,58000,
XEL,Xcel Energy Inc.,30204536040,54.36,Utilities - Regulated Electric,3734337,13775000000,11311,1909
ON,ON Semiconductor Corporation,29974263440,69.67,Semiconductors,5968859,8156000000,30100,
FWONA,Formula One Group - Series A,29869171372,62.95,Entertainment,44190,12525000000,6486,1950
CDW,CDW Corporation,29812164360,221.82,Information Technology Services,560116,21145600000,15100,1984
LI,Li Auto Inc.,29422127933,29.20,Auto Manufacturers,12976788,17468453032,31591,2015
TSCO,Tractor Supply Company,29087948180,269.54,Specialty Retail,663888,14555741000,50000,1938
ANSS,"ANSYS, Inc.",28074807000,321.59,Software - Application,333357,2227107000,6200,1970
FWONK,Formula One Group - Series C,27974882048,70.46,Entertainment,2516902,,,1950
GFS,GLOBALFOUNDRIES Inc.,27239856150,49.73,Semiconductors,2010382,7392000000,12000,2009
ZS,"Zscaler, Inc.",26695704120,178.14,Software - Infrastructure,1290586,1895508000,5962,2007
MDB,"MongoDB, Inc.",26632148337,365.67,Software - Infrastructure,962774,1683011000,5037,2007
DLTR,"Dollar Tree, Inc.",26197196940,120.18,Discount Stores,1700122,30603800000,211826,1986
ICLR,ICON PLC,26056972732,315.14,Diagnostics & Research,483550,8231984000,41100,1990
FITB,Fifth Third Bancorp,25974900000,38.00,Banks - Regional,3062770,8193000000,18724,1858
WTW,Willis Towers Watson PLC,25872864520,253.07,Insurance Brokers,265216,9580000000,48000,1828
TW,Tradeweb Markets Inc.,25776068197,109.25,Capital Markets,1259544,1417709000,1179,1996
TTWO,"Take-Two Interactive Software, Inc.",25304727240,148.34,Electronic Gaming & Multimedia,1028982,5396400000,11580,1993
APP,AppLovin Corporation,25270884139,76.85,Software - Application,2733321,3283087000,1745,2012
RYAAY,Ryanair Holdings plc,25026679603,141.34,Airlines,134415,11712173913,22261,1985
TROW,"T. Rowe Price Group, Inc.",25011833000,112.01,Asset Management,1017481,6673100000,7906,1937
FCNCO,"First Citizens BancShares, Inc.",25003391070,22.73,Banks - Regional,11043,17412000000,16021,1898
EBAY,eBay Inc.,24986280000,49.38,Internet Retail,5633011,10158000000,12300,1995
FCNCA,"First Citizens BancShares, Inc.",24870204378,1725.83,Banks - Regional,79546,17412000000,16021,1898
AXON,"Axon Enterprise, Inc.",24724795612,327.64,Aerospace & Defense,741325,1563391000,4260,1993
MBLY,Mobileye Global Inc.,24066008036,29.85,Auto Parts,1397568,2079000000,3700,1999
WDC,Western Digital Corporation,23705715000,72.60,Computer Hardware,6114032,11911000000,53000,1970
ARGX,argenx SE,23402778558,393.78,Biotechnology,203220,39481111,1148,2008
VOD,Vodafone Group PLC,23396256000,8.64,Telecom Services,3117619,47567021277,98103,1984
KSPI,Kaspi.kz JSC,22863782007,120.33,Software - Infrastructure,107235,4667906120,8772,2008
NTAP,"NetApp, Inc.",22278397150,107.95,Computer Hardware,2046281,6181000000,12000,1992
BNTX,BioNTech SE,22191697362,93.35,Biotechnology,1087154,4243333333,6133,2008
ALGN,"Align Technology, Inc.",21633012441,287.37,Medical Devices,354298,3916544000,21610,1997
MSTR,MicroStrategy Incorporated,21529293692,1268.81,Software - Application,1369416,489592000,1934,1989
PTC,PTC Inc.,21306557440,178.22,Software - Application,714087,2242248000,7231,1985
STLD,"Steel Dynamics, Inc.",20971353000,132.60,Steel,1796789,18795316000,12600,1993
DKNG,DraftKings Inc.,20872433400,44.07,Gambling,14621411,4070737000,4200,
SBAC,SBA Communications Corporation,20820712310,192.59,REIT - Specialty,865871,2711584000,1787,
FSLR,"First Solar, Inc.",20745616210,193.81,Solar,1697193,3564424000,6700,1999
LPLA,LPL Financial Holdings Inc.,20369381585,272.65,Capital Markets,377016,10467609000,8400,1989
ENTG,"Entegris, Inc.",20190914900,133.90,Semiconductor Equipment & Materials,1126900,3372555000,8000,1966
HBAN,Huntington Bancshares Incorporated,20173560000,13.92,Banks - Regional,8384243,6769000000,19995,1866
WBD,"Warner Bros. Discovery, Inc.",19503034800,7.96,Entertainment,29043395,41321000000,35300,1923
PFG,"Principal Financial Group, Inc.",19371837600,82.65,Asset Management,605672,14900100000,19800,1879
ZM,"Zoom Video Communications, Inc.",19254528355,61.82,Software - Application,2698274,4527224000,7420,2011
ALNY,"Alnylam Pharmaceuticals, Inc.",19128120240,151.22,Biotechnology,280865,2003335000,2100,2002
ULTA,"Ulta Beauty, Inc.",18928572800,394.88,Specialty Retail,899453,11207303000,56000,1990
GMAB,Genmab A/S,18910587611,29.03,Biotechnology,406051,2570622287,2204,1999
ILMN,"Illumina, Inc.",18905922000,118.98,Diagnostics & Research,1780695,4493000000,13360,1998
STX,Seagate Technology Holdings plc,18867511650,89.85,Computer Hardware,1908259,6266000000,33400,1978
TER,"Teradyne, Inc.",18655179300,121.95,Semiconductor Equipment & Materials,1914867,2658587000,6500,1960
ERIE,Erie Indemnity Company,18500120223,400.53,Insurance Brokers,50876,3397176000,6556,1925
CINF,Cincinnati Financial Corporation,18376778040,117.38,Insurance - Property & Casualty,359678,10707000000,5426,1950
COO,"The Cooper Companies, Inc.",18365054400,92.40,Medical Instruments & Supplies,773362,3666300000,15000,1980
WMG,Warner Music Group Corp.,18358880138,35.45,Entertainment,1868480,6297000000,5900,1929
CELH,"Celsius Holdings, Inc.",18234675690,78.33,Beverages - Non-Alcoholic,8306194,1318014000,765,2004
HOLX,"Hologic, Inc.",17823200760,75.93,Medical Instruments & Supplies,1173986,3960600000,6990,
UAL,"United Airlines Holdings, Inc.",17745497910,53.97,Airlines,8634247,54827000000,103300,1934
BGNE,"BeiGene, Ltd.",17708296962,162.48,Biotechnology,159425,2458779000,10600,2010
ERIC,Telefonaktiebolaget LM Ericsson (publ),17499039031,5.26,Communication Equipment,10687231,26126091270,99952,1876
NTRS,Northern Trust Corporation,17394411840,85.02,Asset Management,826875,6674700000,23100,1889
CHKP,Check Point Software Technologies Ltd.,17237359020,152.67,Software - Infrastructure,439711,2447300000,6450,1993
JBHT,"J.B. Hunt Transport Services, Inc.",17187460350,166.55,Integrated Freight & Logistics,564406,12544077000,34718,
VRSN,"VeriSign, Inc.",16823436000,168.91,Software - Infrastructure,631720,1513000000,908,
TPG,TPG Inc.,16469246846,45.15,Asset Management,680557,2389911000,1850,1992
ZBRA,Zebra Technologies Corporation,16237732326,315.79,Communication Equipment,331588,4354000000,9750,1969
BSY,"Bentley Systems, Incorporated",15918853475,53.54,Software - Application,1313139,1228413000,5200,1984
OKTA,"Okta, Inc.",15890520500,99.25,Software - Infrastructure,1589334,2263000000,5908,2009
NTNX,"Nutanix, Inc.",15864281970,64.93,Software - Infrastructure,1532350,2019078000,6450,2009
ENPH,"Enphase Energy, Inc.",15658130040,115.08,Solar,2705421,1828109000,3157,2006
BMRN,BioMarin Pharmaceutical Inc.,15589148000,82.10,Biotechnology,857264,2471644000,3401,1996
HOOD,"Robinhood Markets, Inc.",15549453661,17.78,Capital Markets,18269185,1865000000,2200,2013
SSNC,"SS&C Technologies Holdings, Inc.",15526937940,62.78,Software - Application,767750,5575100000,26600,1986
NDSN,Nordson Corporation,15479068930,270.65,Specialty Industrial Machinery,195136,2651348000,7900,1935
AKAM,"Akamai Technologies, Inc.",15316652400,101.08,Software - Infrastructure,1081178,3811920000,10250,1998
CG,The Carlyle Group Inc.,15085327400,41.99,Asset Management,1765558,2963900000,2200,
WBA,"Walgreens Boots Alliance, Inc.",14890426380,17.26,Pharmaceutical Retailers,11415463,144596000000,331000,1901
FOX,Fox Corporation,14870203645,30.02,Entertainment,873140,14557000000,10400,
FOXA,Fox Corporation,14857594064,32.56,Entertainment,2589497,14557000000,10400,
EXPE,"Expedia Group, Inc.",14728390940,116.02,Travel Services,4487362,13063000000,17100,1996
SWKS,"Skyworks Solutions, Inc.",14725825660,91.78,Semiconductors,2053924,4537500000,9750,1962
NBIX,"Neurocrine Biosciences, Inc.",14261269270,141.71,Drug Manufacturers - Specialty & Generic,473881,1982000000,1400,1992
POOL,Pool Corporation,14228743674,370.77,Industrial Distribution,325247,5455630000,6000,1993
NWS,News Corporation,14090251886,25.37,Entertainment,963552,9965000000,25000,
NWSA,News Corporation,14080757816,24.56,Entertainment,2858900,9965000000,25000,
VTRS,Viatris Inc.,14073601200,11.82,Drug Manufacturers - Specialty & Generic,5548863,15426900000,38000,
NICE,NICE Ltd.,13963582470,222.10,Software - Application,574537,2377508000,8384,1986
TRMB,Trimble Inc.,13724489600,56.20,Scientific & Technical Instruments,2936050,3798700000,12700,1978
GRAB,Grab Holdings Limited,13493319100,3.53,Software - Application,12498303,2359000000,12005,2012
HTHT,H World Group Limited,13463570765,40.93,Lodging,1352143,3086318759,26985,2005
HST,"Host Hotels & Resorts, Inc.",13206984940,18.77,REIT - Hotel & Motel,4113374,5401000000,163,
MANH,"Manhattan Associates, Inc.",13138400961,213.39,Software - Application,260095,962264000,4580,1990
LNT,Alliant Energy Corporation,12947089000,50.50,Utilities - Regulated Electric,1217097,3981000000,5442,1917
LECO,"Lincoln Electric Holdings, Inc.",12932411175,227.25,Tools & Accessories,185150,4133490000,12000,1895
LOGI,Logitech International S.A.,12910728240,83.91,Computer Hardware,450487,4247057000,7400,1981
RPRX,Royalty Pharma plc,12848448690,28.49,Biotechnology,1701234,2354554000,89,1996
MORN,"Morningstar, Inc.",12774877236,298.98,Financial Data & Stock Exchanges,81133,2101700000,11334,1984
SRPT,"Sarepta Therapeutics, Inc.",12764493952,135.04,Biotechnology,528260,1403300000,1314,1980
ARCC,Ares Capital Corporation,12696189960,20.89,Asset Management,4205824,2697000000,2800,
AZPN,"Aspen Technology, Inc.",12553433903,197.54,Software - Application,309601,1056992000,3900,1981
SKYE,"Skye Bioscience, Inc.",12552426207,12.92,Biotechnology,41688,,11,2012
GEN,Gen Digital Inc.,12547127000,19.70,Software - Infrastructure,6839948,3792000000,3700,1982
MEDP,"Medpace Holdings, Inc.",12416287716,400.74,Diagnostics & Research,217402,1962812000,5900,1992
EVRG,"Evergy, Inc.",12396230800,53.96,Utilities - Regulated Electric,1809424,5508200000,4658,
SWAV,"ShockWave Medical, Inc.",12377541000,330.00,Medical Devices,643858,730230000,1468,
PODD,Insulet Corporation,12351969000,176.40,Medical Devices,521919,1697100000,3000,2000
PAA,"Plains All American Pipeline, L.P.",12345860310,17.61,Oil & Gas Midstream,3187633,48712000000,4200,1981
FLEX,Flex Ltd.,12293747970,29.19,Electronic Components,5828691,29387000000,172000,1990
XP,XP Inc.,12282545139,22.41,Capital Markets,4444157,3051354415,6669,2001
SIRI,Sirius XM Holdings Inc.,12232283400,3.18,Entertainment,11704068,8971000000,5680,
DOCU,"DocuSign, Inc.",12222192500,59.50,Software - Application,1282821,2761882000,6840,2003
ALAB,"Astera Labs, Inc.",12143996655,78.11,Semiconductors,1930753,115794000,267,2017
INCY,Incyte Corporation,12143177280,54.08,Biotechnology,1701609,3767865000,2524,1991
JKHY,"Jack Henry & Associates, Inc.",12020255792,164.96,Information Technology Services,337833,2160254000,7120,1976
CASY,"Casey's General Stores, Inc.",11963959040,323.20,Specialty Retail,227474,14591599000,42982,1959
TECH,Bio-Techne Corporation,11956023520,76.06,Biotechnology,1070570,1144999000,3050,1976
LKQ,LKQ Corporation,11932890480,44.73,Auto Parts,1611431,14220000000,49000,1998
GLPI,"Gaming and Leisure Properties, Inc.",11851018650,43.65,REIT - Specialty,1117568,1461142000,18,
LAMR,Lamar Advertising Company,11844145309,116.72,REIT - Specialty,431109,2137805000,3550,
CHK,Chesapeake Energy Corporation,11673755840,89.08,Oil & Gas Exploration & Production,1876193,6432000000,1000,1989
EXAS,Exact Sciences Corporation,11646897500,63.35,Diagnostics & Research,2634168,2499766000,6600,1995
WING,Wingstop Inc.,11625820800,395.84,Restaurants,567729,497123000,1225,1994
NTRA,"Natera, Inc.",11582765920,97.21,Diagnostics & Research,915839,1082571000,3293,2003
UTHR,United Therapeutics Corporation,11557916915,260.51,Biotechnology,454182,2498300000,1168,1996
TTEK,"Tetra Tech, Inc.",11341292768,212.12,Engineering & Construction,323796,4949442000,27000,1966
TXRH,"Texas Roadhouse, Inc.",11209745494,167.74,Restaurants,1014292,4778533000,91000,1993
APA,APA Corporation,11106064640,29.92,Oil & Gas Exploration & Production,6221020,8065000000,2271,1954
AFRM,"Affirm Holdings, Inc.",11053606163,36.02,Software - Infrastructure,5060948,1914460000,2171,2012
WYNN,"Wynn Resorts, Limited",10967997290,97.87,Resorts & Casinos,1900585,6531897000,27800,2002
REG,Regency Centers Corporation,10888731820,58.93,REIT - Retail,756905,1368341000,502,
EWBC,"East West Bancorp, Inc.",10850924700,77.49,Banks - Regional,551579,2482518000,3206,1998
DUOL,"Duolingo, Inc.",10641780510,248.20,Software - Application,856137,531109000,720,2011
BRKR,Bruker Corporation,10539694780,72.52,Medical Devices,1747379,2964500000,9707,
SAIA,"Saia, Inc.",10456075532,393.26,Trucking,530246,2975673000,14000,1924
WWD,"Woodward, Inc.",10440685275,173.15,Aerospace & Defense,1031073,3199806000,8800,1870
RIVN,"Rivian Automotive, Inc.",10200827069,10.33,Auto Manufacturers,30464843,4434000000,16790,2009
FUTU,Futu Holdings Limited,10125772176,73.49,Capital Markets,2444133,1281487580,3213,2011
CHDN,Churchill Downs Incorporated,9993726204,135.96,Gambling,461324,2493100000,7970,1928
CYBR,CyberArk Software Ltd.,9970446808,235.64,Software - Infrastructure,695517,811733000,3018,1999
DOX,Amdocs Limited,9896844900,84.95,Software - Infrastructure,576473,4947029000,30695,
FFIV,"F5, Inc.",9880305220,168.58,Software - Infrastructure,503759,2805388000,6524,1996
Z,"Zillow Group, Inc.",9813367293,41.70,Internet Content & Information,3662147,2005000000,6263,2004
ZG,"Zillow Group, Inc.",9812265501,41.06,Internet Content & Information,647453,2005000000,6263,2004
LSCC,Lattice Semiconductor Corporation,9783646980,71.13,Semiconductors,1170017,693659000,1156,1983
CART,Maplebear Inc.,9735202589,36.53,Internet Retail,4507846,3042000000,3380,2012
PCTY,Paylocity Holding Corporation,9636049284,171.06,Software - Application,590468,1353681000,6100,1997
AAL,American Airlines Group Inc.,9611718500,14.65,Airlines,46371169,53169000000,132100,1930
MNDY,monday.com Ltd.,9517655506,194.54,Software - Application,706581,729695000,1854,2012
CFLT,"Confluent, Inc.",9474386300,28.63,Software - Infrastructure,2563541,776952000,2744,2014
RGEN,Repligen Corporation,9389386236,168.04,Medical Instruments & Supplies,432915,607450000,1783,1981
PARAA,Paramount Global,9363541427,23.39,Entertainment,124228,30072000000,21900,1986
ROIV,Roivant Sciences Ltd.,9347813600,11.60,Biotechnology,3403313,123241000,904,2014
QRVO,"Qorvo, Inc.",9288931185,96.21,Semiconductors,1798966,3461221000,8500,1957
PARA,Paramount Global,9288741611,13.29,Entertainment,23283996,30072000000,21900,1986
CHRW,"C.H. Robinson Worldwide, Inc.",9205166250,78.75,Integrated Freight & Logistics,2030403,17397084000,15246,1905
APPF,"AppFolio, Inc.",9163611489,247.36,Software - Application,296422,671775000,1504,2006
WFRD,Weatherford International plc,9114269319,124.59,Oil & Gas Equipment & Services,591149,5307000000,18500,1941
SEIC,SEI Investments Company,8956719960,68.17,Asset Management,242410,1962253000,5089,1968
ESLT,Elbit Systems Ltd.,8913555406,200.41,Aerospace & Defense,21189,5974744000,18984,1966
HSIC,"Henry Schein, Inc.",8806516180,68.53,Medical Distribution,1366123,12339000000,25000,1932
BZ,Kanzhun Limited,8759663055,20.26,Staffing & Employment Services,4757322,839496192,5346,2013
PPC,Pilgrim's Pride Corporation,8683960950,36.65,Packaged Foods,845302,17558523000,61200,1946
ROKU,"Roku, Inc.",8660162638,60.33,Entertainment,3040219,3625098000,3150,2002
VKTX,"Viking Therapeutics, Inc.",8624060280,78.21,Biotechnology,3062858,,27,2012
MTCH,"Match Group, Inc.",8562879520,32.24,Internet Content & Information,5781741,3364504000,2620,
LNW,"Light & Wonder, Inc.",8527495449,94.93,Gambling,448320,2902000000,6500,1984
HAS,"Hasbro, Inc.",8479646560,60.91,Leisure,945499,4759600000,5502,1923
GTLB,GitLab Inc.,8436088000,55.21,Software - Infrastructure,992230,579906000,2130,2011
MKSI,"MKS Instruments, Inc.",8377231122,124.93,Scientific & Technical Instruments,518284,3622000000,10200,1961
OLED,Universal Display Corporation,8363109455,176.29,Electronic Components,463260,611221000,456,1985
DSGX,The Descartes Systems Group Inc.,8292232611,97.11,Software - Application,131058,572931000,2083,1981
OTEX,Open Text Corporation,8246101180,30.22,Software - Application,1471880,5898258000,24100,1991
LEGN,Legend Biotech Corporation,8233293399,45.26,Biotechnology,567505,285143000,1826,2014
LSXMK,Liberty SiriusXM Group - Series C,8232706187,25.50,Broadcasting,1103110,,6400,2008
LSXMB,Liberty SiriusXM Group - Series B,8232706166,25.52,Broadcasting,228,,6400,2008
LSXMA,Liberty SiriusXM Group - Series A,8216846870,25.50,Broadcasting,827468,,6400,2008
RGLD,"Royal Gold, Inc.",8144988297,123.91,Gold,368290,605717000,30,1981
DBX,"Dropbox, Inc.",8097387574,23.54,Software - Infrastructure,3228881,2501600000,2693,2007
FIVE,"Five Below, Inc.",8059165044,146.02,Specialty Retail,597843,3559369000,222,2002
COKE,"Coca-Cola Consolidated, Inc.",8041499461,857.88,Beverages - Non-Alcoholic,39730,6653858000,17000,
GNTX,Gentex Corporation,7998048600,34.55,Auto Parts,1017213,2338678944,6245,1974
AMKR,"Amkor Technology, Inc.",7968522900,32.37,Semiconductor Equipment & Materials,856916,6397037000,28700,1968
FTAI,FTAI Aviation Ltd,7859286400,78.40,Rental & Leasing Services,953341,1204872000,170,2011
